Date,Price,Open,High,Low,Vol.,Change %
1/24/2025,"2,771.30","2,754.06","2,786.04","2,752.56",,0.64%
1/23/2025,"2,753.69","2,755.96","2,759.06","2,735.85",,-0.05%
1/22/2025,"2,755.02","2,745.08","2,763.72","2,741.83",121.32K,0.39%
1/21/2025,"2,744.39","2,709.01","2,746.88","2,702.49",121.32K,1.34%
1/20/2025,"2,708.06","2,702.51","2,714.40","2,689.32",121.32K,0.24%
1/17/2025,"2,701.55","2,713.85","2,717.73","2,698.41",121.32K,-0.45%
1/16/2025,"2,713.77","2,695.96","2,724.86","2,690.00",121.32K,0.67%
1/15/2025,"2,695.82","2,677.29","2,697.85","2,669.04",121.32K,0.70%
1/14/2025,"2,677.16","2,662.53","2,678.44","2,659.79",121.32K,0.56%
1/13/2025,"2,662.12","2,689.35","2,693.77","2,656.73",121.32K,-1.02%
1/10/2025,"2,689.63","2,670.74","2,698.57","2,663.65",121.32K,0.73%
1/9/2025,"2,670.19","2,662.20","2,675.42","2,662.35",121.32K,0.31%
1/8/2025,"2,662.06","2,649.85","2,670.60","2,645.03",121.32K,0.47%
1/7/2025,"2,649.49","2,636.02","2,664.54","2,632.57",,0.54%
1/6/2025,"2,635.33","2,641.00","2,649.62","2,614.60",,-0.14%
1/3/2025,"2,639.12","2,657.29","2,665.47","2,636.40",,-0.68%
1/2/2025,"2,657.16","2,626.60","2,660.85","2,621.51",,1.27%
12/31/2024,"2,623.81","2,606.13","2,627.85","2,602.50",,0.71%
12/30/2024,"2,605.39","2,620.30","2,628.61","2,595.90",,-0.56%
12/27/2024,"2,620.00","2,634.59","2,638.74","2,611.30",,-0.55%
12/26/2024,"2,634.43","2,619.79","2,639.40","2,614.13",,0.81%
12/24/2024,"2,613.20","2,613.07","2,621.83","2,609.92",,0.01%
12/23/2024,"2,612.93","2,622.24","2,633.60","2,607.97",,-0.30%
12/20/2024,"2,620.77","2,593.97","2,631.92","2,589.56",,1.04%
12/19/2024,"2,593.85","2,587.87","2,626.73","2,583.49",,0.24%
12/18/2024,"2,587.63","2,645.68","2,652.08","2,586.52",,-2.19%
12/17/2024,"2,645.54","2,652.63","2,659.22","2,633.00",,-0.26%
12/16/2024,"2,652.50","2,649.10","2,664.83","2,643.34",,0.16%
12/13/2024,"2,648.39","2,681.47","2,693.02","2,645.90",,-1.23%
12/12/2024,"2,681.33","2,718.07","2,726.31","2,675.04",,-1.35%
12/11/2024,"2,717.93","2,693.76","2,721.35","2,674.58",,0.90%
12/10/2024,"2,693.64","2,658.82","2,695.79","2,657.95",,1.31%
12/9/2024,"2,658.78","2,635.52","2,676.52","2,627.47",,0.98%
12/6/2024,"2,632.91","2,632.18","2,645.69","2,613.57",,0.03%
12/5/2024,"2,632.05","2,649.92","2,655.62","2,623.55",,-0.67%
12/4/2024,"2,649.79","2,643.57","2,657.36","2,632.50",,0.24%
12/3/2024,"2,643.44","2,639.05","2,655.71","2,634.12",121.32K,0.17%
12/2/2024,"2,638.93","2,653.82","2,656.21","2,621.90",,-0.55%
11/29/2024,"2,653.55","2,641.20","2,666.35","2,634.11",,0.48%
11/28/2024,"2,640.96","2,635.74","2,650.12","2,620.95",,0.21%
11/27/2024,"2,635.51","2,632.16","2,658.40","2,627.06",,0.14%
11/26/2024,"2,631.89","2,625.38","2,642.05","2,605.29",,0.25%
11/25/2024,"2,625.26","2,715.10","2,721.43","2,615.70",,-3.22%
11/22/2024,"2,712.55","2,669.84","2,712.91","2,667.38",,1.61%
11/21/2024,"2,669.69","2,650.19","2,673.86","2,647.95",,0.74%
11/20/2024,"2,650.05","2,631.80","2,655.50","2,618.70",,0.70%
11/19/2024,"2,631.68","2,612.29","2,639.69","2,610.25",,0.75%
11/18/2024,"2,612.20","2,561.59","2,615.17","2,561.59",,1.99%
11/15/2024,"2,561.24","2,566.54","2,576.09","2,554.58",,-0.19%
11/14/2024,"2,566.19","2,573.91","2,581.61","2,536.91",,-0.29%
11/13/2024,"2,573.78","2,597.41","2,618.97","2,573.00",,-0.90%
11/12/2024,"2,597.27","2,620.31","2,627.24","2,589.79",,-0.88%
11/11/2024,"2,620.20","2,684.81","2,686.51","2,610.62",,-2.37%
11/8/2024,"2,683.77","2,707.37","2,710.51","2,680.36",,-0.86%
11/7/2024,"2,706.99","2,659.36","2,710.20","2,643.50",,1.80%
11/6/2024,"2,659.24","2,743.88","2,749.80","2,652.44",,-3.07%
